                   DIRECTORY |                           leoiii |                         satallax |      cvc4-hoelim-fmf-storeax-agg |                         cvc4-fmf |
     th0-lamb/SEU-SEU918^5.p |    di   20    0   4.25     250.3 |    di   20    0   0.87      33.3 |    di   10    0    0.2      19.1 |    di   30    0    0.0       0.0 |
     th0-lamb/SEU-SEU932^5.p |    di   20    0   5.97     287.6 |    di   20    0   7.86     102.3 |    di   10    0   0.09      18.2 |    di   20    0    0.0       0.0 |
     th0-lamb/SEU-SEU948^5.p |    di   20    0  40.84    1121.1 |    di    -    0   7.86     196.0 |    di   10    0   8.49      38.5 |    di   30    0    0.0       0.0 |
     th0-lamb/SEU-SEU953^5.p |    di   20    0   4.84     399.0 |    di    -    0   7.85     153.7 |    di   10    0    0.0       0.0 |    di   30    0    0.0       0.0 |
     th0-lamb/SEU-SEU960^5.p |    di   20    0  29.45     667.6 |    di   20    0   7.86     195.7 |    di   10    0   0.39      21.9 |    di   30    0    0.0       0.0 |
     th0-lamb/SEV-SEV119^5.p |    di    -    2  60.07    1734.4 |    di   20    0   0.56      29.8 |    di   10    0   0.29      21.4 |    di   30    0    0.0       0.0 |
     th0-lamb/SEV-SEV141^5.p |    di    -    2  60.05    1738.0 |    di   20    0    1.9     228.8 |    di   10    0    0.0       0.0 |    di   30    0    0.0       0.0 |
     th0-lamb/SEV-SEV166^5.p |    di   20    0   5.56     263.5 |    di   20    0   0.87      33.3 |    di   10    0    0.0       0.0 |    di   30    0    0.0       0.0 |
     th0-lamb/SEV-SEV244^6.p |    di    -    2  60.07    1605.1 |    di   20    0   7.92     122.9 |    di   10    0    0.2      21.0 |    di   30    0    0.0       0.0 |
     th0-lamb/SEV-SEV245^5.p |    di    -    2  60.23    3219.1 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   30    0    0.0       0.0 |
     th0-lamb/SEV-SEV252^5.p |    di    -    2  60.09    1624.0 |    di   20    0   7.93     126.3 |    di   10    0   0.09      19.4 |    di   30    0    0.0       0.0 |
     th0-lamb/SEV-SEV256^5.p |    di   20    0   3.36     177.9 |    di   20    0   0.87      29.8 |    di   10    0   0.09       2.8 |    di   30    0    0.0       0.0 |
     th0-lamb/SEV-SEV257^5.p |    di   20    0   5.97     345.2 |    di   20    0   7.86      75.3 |    di   10    0   0.09      19.0 |    di   30    0    0.0       0.0 |
     th0-lamb/SEV-SEV267^5.p |    di    -    2  60.17    3069.8 |    di    -    0   8.81      92.1 |    di   10    0   0.09      18.6 |    di   30    0    0.0       0.0 |
     th0-lamb/SEV-SEV394^5.p |    di   20    0   5.23     508.4 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   20    0    0.0       0.0 |
     th0-lamb/SEV-SEV417^5.p |    di   20    0   7.71     380.2 |    di   20    0    0.0       0.0 |    di   10    0    0.1      19.3 |    di   20    0    0.0       0.0 |
     th0-lamb/SWV-SWV425^2.p |    di   20    0  23.33     610.3 |    di   20    0    0.0       0.0 |    di   10    0  20.79      50.7 |    di   30    0    0.0       0.0 |
     th0-lamb/SWV-SWV432^2.p |    di   20    0  38.39     765.3 |    di   20    0   3.24     140.2 |    di   10    0  28.49      53.9 |    di   30    0    0.0       0.0 |
     th0-lamb/SYO-SYO362^5.p |    di    -    2  60.23    1796.9 |    di   20    0   0.88      35.9 |    di   10    0   0.19      21.3 |    di   10    0    0.0       0.0 |
